name,length,is_ordered,verdict,tci,tci_raw,g1,g2,g3,g4,g5,latency_ms,best_hypothesis
Tau Repeat R3,48,False,WEAK,0.2521,0.3769,0.5101,0.4873,0.4817,0.3564,0.5554,140.68,disordered
Myelin Basic Protein,170,False,REJECT,0.1836,0.4017,0.5493,0.4872,0.4298,0.4539,0.6299,453.24,disordered
Neurofilament M tail,89,False,REJECT,0.1760,0.3192,0.5837,0.3024,0.5111,0.2656,0.7489,182.66,beta_sheet
Calpastatin Domain 1,88,False,REJECT,0.1828,0.2458,0.5349,0.2650,0.4118,0.2391,0.5530,162.33,disordered
NusG N-term,90,False,REJECT,0.1790,0.2429,0.5346,0.2385,0.4356,0.2684,0.4525,180.18,disordered
BRCA1 IDR,88,False,REJECT,0.0390,0.1346,0.3584,0.1187,0.3823,0.3795,0.0166,153.58,disordered
MAP2 Projection,89,False,REJECT,0.2122,0.2663,0.5477,0.3111,0.4272,0.2960,0.5161,442.46,disordered
Nup98 FG Repeat,88,False,REJECT,0.1592,0.2272,0.4717,0.6066,0.3544,0.3927,0.0166,150.76,disordered
NCBD Region,81,False,REJECT,0.0664,0.0739,0.2177,0.1066,0.3651,0.1192,0.2796,127.85,disordered
Securin IDR,82,False,REJECT,0.0553,0.0517,0.4057,0.2462,0.2116,0.0218,0.3072,122.91,disordered
EWS N-term,86,False,WEAK,0.2629,0.3842,0.5005,0.4344,0.3451,0.4928,0.5682,161.62,disordered
hnRNPA2 LCD,83,False,REJECT,0.0376,0.1301,0.3470,0.1812,0.3498,0.2916,0.0166,149.64,disordered
Nup214 FG Repeat,84,False,WEAK,0.2548,0.2922,0.3568,0.7314,0.2614,0.3547,0.0166,156.43,disordered
LEF1 IDR,88,False,REJECT,0.0478,0.0340,0.2684,0.1293,0.2407,0.0818,0.0166,145.30,disordered
NuMA IDR,84,False,REJECT,0.2208,0.4379,0.5844,0.3828,0.3938,0.4657,0.4544,118.59,beta_sheet
p53 TAD Full,126,False,REJECT,0.2100,0.4276,0.5804,0.5658,0.4406,0.4898,0.6589,266.36,disordered
Sic1 Alternative,77,False,REJECT,0.0518,0.0437,0.3020,0.1266,0.2736,0.1109,0.0166,134.96,disordered
Nup116 FG Region,78,False,REJECT,0.1353,0.2058,0.4342,0.3720,0.2785,0.3262,0.0166,147.84,disordered
ERD14 Dehydrin,89,False,REJECT,0.2388,0.3677,0.5241,0.3137,0.6011,0.3621,0.7695,149.50,disordered
BRCA1 IDR 2,87,False,REJECT,0.0316,0.1086,0.6663,0.1043,0.3006,0.0310,0.3067,133.11,disordered
c-Myc TAD,240,False,PROBABLE,0.9900,0.6952,0.5813,0.7183,0.4680,0.7832,0.7355,406.58,disordered
Nsp1 FG Repeat,78,False,REJECT,0.1444,0.2143,0.4400,0.3864,0.2887,0.3342,0.0166,143.20,disordered
EWS RBD Region,82,False,REJECT,0.2212,0.2721,0.4962,0.2536,0.3446,0.4633,0.0166,148.92,disordered
TAF15 Low Complexity,82,False,REJECT,0.2056,0.3432,0.4905,0.2614,0.3524,0.4668,0.5302,136.33,disordered
TDP-43 LCD,83,False,WEAK,0.2589,0.3815,0.4858,0.4248,0.4239,0.5139,0.4078,164.23,disordered
ATXN2 PolyQ,86,False,REJECT,0.0389,0.1345,0.3672,0.1225,0.4478,0.1000,0.7719,147.32,disordered
MLF1 IDR,87,False,REJECT,0.1717,0.3154,0.4276,0.7314,0.4698,0.2505,0.7252,158.45,disordered
PB1 IDR,85,False,REJECT,0.0470,0.0321,0.4033,0.2282,0.1892,0.0131,0.0166,133.58,disordered
FUS Full IDR,163,False,REJECT,0.1615,0.3063,0.5081,0.3827,0.4018,0.3936,0.5510,305.33,disordered
Beta-Synuclein,89,False,REJECT,0.2053,0.4231,0.5823,0.8534,0.4784,0.4469,0.5513,168.88,beta_sheet
hnRNPA1 LCD,63,False,WEAK,0.2560,0.2929,0.4952,0.3821,0.4615,0.3528,0.5417,110.32,disordered
Ataxin-2 IDR,105,False,REJECT,0.0556,0.0524,0.3045,0.2066,0.3717,0.0305,0.5270,152.23,disordered
